01-07-2024,-,-,27.1,93,8888,4.3,4,30,2,N 
02-07-2024,-,-,27.3,91,15.5,2,3,320,2,NW
03-07-2024,-,-,26.3,94,49.5,6,3,80,2,NE
04-07-2024,-,-,28.1,86,9,0,3,320,2,NW
05-07-2024,-,-,29,84,1.3,3.9,3,350,2,N 
06-07-2024,-,-,28.9,84,1,9.2,3,340,2,NW
07-07-2024,-,-,27.9,90,0.2,8.3,4,10,2,N 
08-07-2024,-,-,27.3,93,2.5,1.5,10,110,2,N 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
